"uid"	"domainID"	"siteID"	"plotID"	"namedLocation"	"laboratoryName"	"collectDate"	"processedDate"	"geneticSampleID"	"deprecatedVialID"	"dnaSampleID"	"internalLabID"	"sequenceAnalysisType"	"testProtocolVersion"	"sampleMaterial"	"sampleMass"	"nucleicAcidConcentration"	"nucleicAcidPurity"	"nucleicAcidQuantMethod"	"dnaPooledStatus"	"qaqcStatus"	"dnaProcessedBy"	"remarks"	"dataQF"	"publicationDate"
"160"	"209a22ee-5ea5-4503-aa0f-3943454e2331"	"D01"	"BART"	"BART_003"	"BART_003.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-25 20:02:00	2017-06-12	"BART_003-O-18-3.5-20160425-GEN"	NA	"BART_003-O-18-3.5-20160425-GEN-DNA1"	"BMI_Plate1WellD11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	60	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"161"	"e187f189-e777-4a80-aceb-14d2db7b1c71"	"D01"	"BART"	"BART_003"	"BART_003.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-25 20:23:00	2017-06-12	"BART_003-O-6-24.5-20160425-GEN"	NA	"BART_003-O-6-24.5-20160425-GEN-DNA1"	"BMI_Plate1WellG3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	41	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"162"	"18e00939-b875-49c3-b0e1-90afc68a343c"	"D01"	"BART"	"BART_003"	"BART_003.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-25 20:44:00	2017-06-12	"BART_003-O-37-37-20160425-GEN"	NA	"BART_003-O-37-37-20160425-GEN-DNA1"	"BMI_Plate1WellA8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	29	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"163"	"c36a6354-2314-4865-9693-8b59a9fd169f"	"D01"	"BART"	"BART_002"	"BART_002.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 12:48:00	2017-06-12	"BART_002-O-3-8-20160426-GEN"	NA	"BART_002-O-3-8-20160426-GEN-DNA1"	"BMI_Plate1WellF1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	58	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"164"	"7b7d0e22-b40a-490e-98d1-1b6b61b6189d"	"D01"	"BART"	"BART_002"	"BART_002.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 13:23:00	2017-06-12	"BART_002-O-12.5-38-20160426-GEN"	NA	"BART_002-O-12.5-38-20160426-GEN-DNA1"	"BMI_Plate1WellF7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	78	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"165"	"8e3d2fa3-8ab8-4101-815e-076a3a4aacc0"	"D01"	"BART"	"BART_002"	"BART_002.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 13:49:00	2017-06-12	"BART_002-O-31.5-0.5-20160426-GEN"	NA	"BART_002-O-31.5-0.5-20160426-GEN-DNA1"	"BMI_Plate1WellC1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	36	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"166"	"1384da1d-b175-436d-a898-23bbcc9009dc"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 15:20:00	2017-06-12	"BART_042-O-18.5-5.5-20160426-GEN"	NA	"BART_042-O-18.5-5.5-20160426-GEN-DNA1"	"BMI_Plate1WellG8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	37	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"167"	"7d6fa374-f04f-4a1d-ab11-15e6403e60b9"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 15:43:00	2017-06-12	"BART_042-O-38.5-7.5-20160426-GEN"	NA	"BART_042-O-38.5-7.5-20160426-GEN-DNA1"	"BMI_Plate1WellG10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	45	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"168"	"68082f35-bb8a-43f7-9c9e-4ed6a83ff43f"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-26 16:02:00	2017-06-12	"BART_042-O-21-30.5-20160426-GEN"	NA	"BART_042-O-21-30.5-20160426-GEN-DNA1"	"BMI_Plate1WellG12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	17	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"169"	"073a1714-55dc-4d87-beb8-a0f59a5a99c2"	"D01"	"BART"	"BART_001"	"BART_001.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 15:29:00	2017-06-12	"BART_001-O-11.5-9.5-20160725-GEN"	NA	"BART_001-O-11.5-9.5-20160725-GEN-DNA1"	"BMI_Plate1WellF4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	64	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"173"	"7bfc3687-951c-4b7d-9bfe-de85bff2040f"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 18:05:00	2017-06-12	"BART_004-O-18-4.5-20160725-GEN"	NA	"BART_004-O-18-4.5-20160725-GEN-DNA1"	"BMI_Plate1WellC12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	26	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"175"	"a1a17756-18c0-4664-a61d-4c5660ce9b7d"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 18:37:00	2017-06-12	"BART_004-O-22.5-2.5-20160725-GEN"	NA	"BART_004-O-22.5-2.5-20160725-GEN-DNA1"	"BMI_Plate1WellD12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	30	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"176"	"b044ec24-55bb-4c05-af9e-e35956a2b652"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 19:08:00	2017-06-12	"BART_004-O-2.5-34.5-20160725-GEN"	NA	"BART_004-O-2.5-34.5-20160725-GEN-DNA1"	"BMI_Plate1WellE6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	42	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"177"	"e0037c6a-5543-48a0-95c6-831bbbc86351"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 20:16:00	2017-06-12	"BART_042-O-4-31.5-20160725-GEN"	NA	"BART_042-O-4-31.5-20160725-GEN-DNA1"	"BMI_Plate1WellG11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	60	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"179"	"7b8e75f6-c654-44a2-8675-9a79fb41acda"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 20:54:00	2017-11-22	"BART_042-O-4.5-4-20160725-GEN"	NA	"BART_042-O-4.5-4-20160725-GEN-DNA1"	"BMI_Plate18WellC3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	38	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3DYxyju9jcgbA=="	NA	NA	"20200407T141259Z"
"180"	"17e4bad3-81f8-4c0b-bd9f-b2d83549dfe7"	"D01"	"BART"	"BART_042"	"BART_042.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-25 21:15:00	2017-06-12	"BART_042-O-33-2-20160725-GEN"	NA	"BART_042-O-33-2-20160725-GEN-DNA1"	"BMI_Plate1WellG7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	35	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"181"	"c1a482de-b292-4eff-b622-ae4511198a66"	"D01"	"BART"	"BART_003"	"BART_003.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 13:48:00	2017-06-12	"BART_003-O-37.5-18.5-20160726-GEN"	NA	"BART_003-O-37.5-18.5-20160726-GEN-DNA1"	"BMI_Plate1WellF5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	95	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"183"	"75956109-bb9f-48b8-8382-5f786e4a4b43"	"D01"	"BART"	"BART_003"	"BART_003.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 14:19:00	2017-06-12	"BART_003-O-35-25-20160726-GEN"	NA	"BART_003-O-35-25-20160726-GEN-DNA1"	"BMI_Plate1WellA7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	59	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"187"	"2ede0fcd-7c80-463c-9e3e-f9700bf4d96e"	"D01"	"BART"	"BART_024"	"BART_024.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 17:03:00	2017-06-12	"BART_024-O-36-13-20160726-GEN"	NA	"BART_024-O-36-13-20160726-GEN-DNA1"	"BMI_Plate1WellA6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	32	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"188"	"78f5ff74-f43b-4129-9d7c-bcfb3c8e133e"	"D01"	"BART"	"BART_024"	"BART_024.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 17:23:00	2017-06-12	"BART_024-O-13-8-20160726-GEN"	NA	"BART_024-O-13-8-20160726-GEN-DNA1"	"BMI_Plate1WellD6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	61	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"189"	"8f7c71c6-3ed1-4b78-83d3-4e9d5de7b94c"	"D01"	"BART"	"BART_023"	"BART_023.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 19:04:00	2017-06-12	"BART_023-O-32-7-20160726-GEN"	NA	"BART_023-O-32-7-20160726-GEN-DNA1"	"BMI_Plate1WellF9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	25	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"191"	"942fa767-704e-4657-9004-f68216012186"	"D01"	"BART"	"BART_023"	"BART_023.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 19:30:00	2017-06-12	"BART_023-O-38.5-23-20160726-GEN"	NA	"BART_023-O-38.5-23-20160726-GEN-DNA1"	"BMI_Plate1WellC9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	24	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"192"	"0c2c9ce2-fa77-4c2b-b567-7b9bf0c7303a"	"D01"	"BART"	"BART_023"	"BART_023.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-26 20:00:00	2017-06-12	"BART_023-O-11.5-37-20160726-GEN"	NA	"BART_023-O-11.5-37-20160726-GEN-DNA1"	"BMI_Plate1WellD10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	26	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"195"	"22705983-75fc-4908-aab1-aaaa30e1164d"	"D01"	"BART"	"BART_002"	"BART_002.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 12:51:00	2017-06-12	"BART_002-O-12-0.5-20160727-GEN"	NA	"BART_002-O-12-0.5-20160727-GEN-DNA1"	"BMI_Plate1WellE5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	39	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"196"	"1b081a8a-67d7-408e-822e-ee5d4de65aca"	"D01"	"BART"	"BART_002"	"BART_002.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 13:17:00	2017-06-12	"BART_002-O-38-10.5-20160727-GEN"	NA	"BART_002-O-38-10.5-20160727-GEN-DNA1"	"BMI_Plate1WellB1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	36	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"197"	"1c3e1fad-9f56-4b5e-83c8-390cfbb60090"	"D01"	"BART"	"BART_036"	"BART_036.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 14:21:00	2017-06-12	"BART_036-O-9.5-21.5-20160727-GEN"	NA	"BART_036-O-9.5-21.5-20160727-GEN-DNA1"	"BMI_Plate1WellH9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	24	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"199"	"e5622139-0296-4417-8525-ffbeb21a5df0"	"D01"	"BART"	"BART_036"	"BART_036.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 14:43:00	2017-06-12	"BART_036-O-4-9-20160727-GEN"	NA	"BART_036-O-4-9-20160727-GEN-DNA1"	"BMI_Plate1WellA2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	36	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"200"	"06c6cf41-0010-4cb6-8410-acc055abe297"	"D01"	"BART"	"BART_036"	"BART_036.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 15:15:00	2017-06-12	"BART_036-O-38.5-13-20160727-GEN"	NA	"BART_036-O-38.5-13-20160727-GEN-DNA1"	"BMI_Plate1WellB11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	43	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"201"	"f5bbb85e-d44b-4255-9eb0-e6f8712b13e0"	"D01"	"BART"	"BART_071"	"BART_071.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 15:58:00	2017-06-12	"BART_071-O-10-3-20160727-GEN"	NA	"BART_071-O-10-3-20160727-GEN-DNA1"	"BMI_Plate1WellH3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	25	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"203"	"836bd801-0778-4234-98be-bff67ddbf64e"	"D01"	"BART"	"BART_071"	"BART_071.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 16:24:00	2017-06-12	"BART_071-O-26.5-5.5-20160727-GEN"	NA	"BART_071-O-26.5-5.5-20160727-GEN-DNA1"	"BMI_Plate1WellH4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	62	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"207"	"d33ce5a7-9918-49e3-8249-1482e63fff81"	"D01"	"BART"	"BART_040"	"BART_040.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 18:14:00	2017-06-12	"BART_040-O-1-18-20160727-GEN"	NA	"BART_040-O-1-18-20160727-GEN-DNA1"	"BMI_Plate1WellH8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	53	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"208"	"a1e3994e-ae3c-49fc-be6d-109d13aea076"	"D01"	"BART"	"BART_040"	"BART_040.basePlot.bgc"	"Battelle Applied Genomics"	2016-07-27 18:37:00	2017-06-12	"BART_040-O-20-34-20160727-GEN"	NA	"BART_040-O-20-34-20160727-GEN-DNA1"	"BMI_Plate1WellG5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	69	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T141259Z"
"209"	"3bc67822-e25a-43b3-b3e3-794cb145c803"	"D01"	"BART"	"BART_001"	"BART_001.basePlot.bgc"	"Battelle Applied Genomics"	2016-11-14 17:13:00	2018-05-07	"BART_001-O-9.5-38-20161114-GEN"	NA	"BART_001-O-9.5-38-20161114-GEN-DNA1"	"BMI_Plate60WellH1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	23	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140440Z"
"210"	"bb266a98-a1a3-4cbb-9cbe-35572aaeb712"	"D01"	"BART"	"BART_001"	"BART_001.basePlot.bgc"	"Battelle Applied Genomics"	2016-11-14 17:55:00	2018-05-07	"BART_001-O-35.5-27.5-20161114-GEN"	NA	"BART_001-O-35.5-27.5-20161114-GEN-DNA1"	"BMI_Plate60WellG11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	34	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140440Z"
"212"	"401c35f0-f0ae-40a8-9bb1-489b422680ce"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-11-14 19:23:00	2018-05-08	"BART_004-O-3-25.5-20161114-GEN"	NA	"BART_004-O-3-25.5-20161114-GEN-DNA1"	"BMI_Plate62WellA12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	6.7	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140440Z"
"213"	"23db734a-2bb9-4311-af3b-93214ff8cd7f"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-11-14 19:53:00	2018-05-08	"BART_004-O-20-7.5-20161114-GEN"	NA	"BART_004-O-20-7.5-20161114-GEN-DNA1"	"BMI_Plate62WellA10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	11	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140440Z"
